,Unnamed: 0,Sentence,Phrase,Episode,Target,Speaker,Vocative Relation,Other Relation,In-sentence Characters
24,124,YARA: Our god is a sea god.,Phrase,s6ep5,All,Yara,None,None,None
25,125,BRAN: We couldn't risk going to the kitchens.,Phrase,s2ep7,Osha,Bran,None,None,None
26,126,JAIME:There's still time.,Phrase,s4ep1,Joffrey,Jaime,None,None,None
27,127,OLENNA (with contempt): I’ve read the seven pointed star.,Phrase,s5ep7,Sparrow,Olenna,None,None,None
28,128,CERSEI: Cersei: It's your sister. The queen.,Phrase,s3ep1,Tyrion,Cersei,None,Tyrion sibling_of Cersei,"your sister, the queen"
29,129,SANDOR: It’s gonna be a cold night. We’ll need firewood.,Phrase,s6ep7,Ray,Sandor,None,None,None
30,130,ROOSE BOLTON: Wars cost money. Many people would pay a great deal for you.,Phrase,s3ep6,Jaime,Roose Bolton,None,None,None
31,131,HOUND: Stark deserters. Baratheon deserters. You lot aren't fighting in a war. You're running from it.,Phrase,s3ep4,Beric,Hound,None,None,"Stark, Baratheon"
32,132,"TYRION: Stannis knows King's Landing. He knows where the walls are strongest, and he knows which gates are weakest. The Mud Gate. A good ram will batter it down in minutes, and it's only 50 yards from the water. That's where he'll land.",Phrase,s2ep8,Varys,Tyrion,None,None,Stannis
33,133,MANCE: This was my home for many years. I wish you good fortune in the wars to come.,Phrase,s5ep1,Stannis,Mance,None,None,None
34,134,Rakharo: Slow.,Phrase,s1ep3,Jorah Mormont,Rakharo,None,None,None
35,135,BRIENNE: Your Grace.,Phrase,s4ep2,Cersei,Brienne,None,None,Your Grace
36,136,THEON: You should be proud of your brother's achievement. I took the great castle of Winterfell with 20 men.,Phrase,s2ep8,Yara,Theon,None,Yara sibling_of Theon,your brother's
37,137,JAIME: What is?,Phrase,s3ep7,Qyburn,Jaime,None,None,None
38,138,JON: I can't.,Phrase,s5ep4,Melisandre,Jon,None,None,None
39,139,ROBB: That will be all.,Phrase,s2ep7,Rickard Karstark,Robb,None,None,None
40,140,Samwell Tarly:But we're your brothers now.,Phrase,s1ep10,Jon Snow,Samwell,None,None,None
41,141,SAM: *to Olly* Get me to the top! You hear me?!,Phrase,s4ep9,Olly,Sam,None,None,None
42,142,"ELARIA: We don't need an army to start a war. (Drinks water). Queen Cersei loves her children, and we have one of them.",Phrase,s5ep4,Obara,Elaria,None,None,"Queen Cersei, her children"
43,143,BRONN: Can't imagine why.,Phrase,s2ep1,Tyrion,Bronn,None,None,None
44,144,"Jorah Mormont: We're still not far from Pentos, your Grace. Magister Illyrio has extended his hospitality. You'd be more comfortable there.",Phrase,s1ep2,Viserys Targaryen,Jorah Mormont,None,None,"Magister Illyrio, Your Grace"
45,145,"ARYA: Her father was Eddard Stark. Her mother was Catelyn Stark. She had one sister, Sansa, and four brothers.",Phrase,s6ep3,Waif,Arya,None,"Eddard Stark father_of Arya, Catelyn Stark mother_of Arya, Sansa sister_of Arya","Eddard Stark, Catelyn Stark, Sansa, four brothers"
46,146,Sansa Stark: The Mad King.,Phrase,s1ep4,Septa Mordane,Sansa Stark,None,None,The Mad King
47,147,OLENNA: Well I think that’s quite enough of that.,Phrase,s5ep6,Sparrow,Olenna,None,None,None
48,148,"TYRION: We can't. Now that the Lannisters have discarded her, Sansa will have many suitors. A great beauty with a very old name.",Phrase,s3ep2,Shae,Tyrion,None,None,"The Lannisters, Sansa"
49,149,"CERSEI: A lie. A lie from the lips of Stannis Baratheon. He wants the Throne, but his brother’s children stand in his way, so he claims they are not his brothers’. The filth. There is not one shred of truth to it. I deny it.",Phrase,s5ep10,Sparrow,Cersei,None,None,"Stannis Baratheon, his brothers's children, his brothers"
